titulo,autor,disponibilidad,link,categoria,moneda,precio_numero
PREMIO PAUL CEZANNE,VV.AA.,Disponible,/p/premio-paul-cezanne/170819/274688,Arte,UYU,1275.0
EL UNIVERSO EN UNA CAJA. 20 POSTALES,TROCHE,Disponible,/p/el-universo-en-una-caja-20-postales/60152/61648,Arte,UYU,331.5
CUADERNO ÍNTIMO INSPIRADO EN FRIDA KAHLO,CLAUIA MADRAZO,Disponible,/p/cuaderno-intimo-inspirado-en-frida-kahlo/159643/269857,Arte,UYU,1011.5
BANKSY. ESTO NO ES UN MANUAL DE RECURSOS PARA LAS PUTAS AGENCIAS PUBLICITARIAS,BANKSY,Disponible,/p/banksy-esto-no-es-un-manual-de-recursos-para-las-putas-agencias-publicitarias/159641/269855,Arte,UYU,926.5
GUÍA PARA LA ACTUACIÓN DEL FUTURO,BERNARD HILLER,Disponible,/p/guia-para-la-actuacion-del-futuro/154610/264492,Arte,UYU,841.5
VERDAD,SUSAN BATSON,Disponible,/p/verdad/174907/278747,Arte,UYU,1020.0
ARTES DE LA MEMORIA EN EL MUNDO CONTEMPORÁNEO,ANDREAS HUYSSEN,Disponible,/p/artes-de-la-memoria-en-el-mundo-contemporaneo/174881/278720,Arte,UYU,1105.0
PICASSO OBRAS MAESTRAS,STÉPHANE GUÉGAN,Disponible,/p/picasso-obras-maestras/174693/278533,Arte,UYU,1785.0
DOMUS 1940-1949,VARIOS AUTORES,Disponible,/p/domus-1940-1949/174590/278449,Arte,UYU,2125.0
KAHLO,"KETTENMANN, ANDREA",Disponible,/p/kahlo/63949/76100,Arte,UYU,1105.0
GIGER,HR GIGER,Disponible,/p/giger/103684/107391,Arte,UYU,1105.0
WARHOL,"HONNEF, KLAUS",Disponible,/p/warhol/65299/75714,Arte,UYU,1105.0
EL BOSCO,"BOSING, WALTER",Disponible,/p/el-bosco/73354/75330,Arte,UYU,1105.0
ALQUIMIA Y MÍSTICA,"ROOB, ALEXANDER",Disponible,/p/alquimia-y-mistica/73358/75334,Arte,UYU,1530.0
JOAN MIRO,VARIOS AUTORES,Disponible,/p/joan-miro/174587/278446,Arte,UYU,841.5
OBRAS MAESTRAS EXPLICADAS,JAMES PAYNE,Disponible,/p/obras-maestras-explicadas/174600/278459,Arte,UYU,2380.0
DAVID HOCKNEY,DELPHINE COFFIN / ALEXANDRA DE BOUHELLIER,Disponible,/p/david-hockney/174598/278457,Arte,UYU,841.5
EL CAMINO DEL ARTISTA PARA PADRES,JULIA CAMERON,Disponible,/p/el-camino-del-artista-para-padres/174549/278423,Arte,UYU,586.5
EL MUNDO DEL REVES,BENJAMIN MOSER,Disponible,/p/el-mundo-del-reves/174470/278339,Arte,UYU,1105.0
TRISTÍSIMO WARHOL,ESTRELLA DE DIEGO,Disponible,/p/tristisimo-warhol/174476/278345,Arte,UYU,807.5
TERESA TRUJILLO: CORPO REALIDADES,TERESA TRUJILLO,Disponible,/p/teresa-trujillo-corpo-realidades/174158/278030,Arte,UYU,1530.0
SOBRAS DE ARTA INCOMPLETAS DE ERNEST,VVAA,Disponible,/p/sobras-de-arta-incompletas-de-ernest/173903/277774,Arte,UYU,1530.0
PALI,RAFAEL LORENTE,Disponible,/p/pali/126090/128111,Arte,UYU,1020.0
DIBUJAR EN 10 PASOS KAWAII,CHIE KUTSUKAWA,Disponible,/p/dibujar-en-10-pasos-kawaii/142143/251224,Arte,UYU,671.5
MANGA: DIBUJAR EN 10 PASOS,CHIE KUTSUKAWA,Disponible,/p/manga-dibujar-en-10-pasos/125741/127741,Arte,UYU,671.5
KAWAII HAND LETTERING,"GUENTERT BALDO, CINDY",Disponible,/p/kawaii-hand-lettering/125734/127734,Arte,UYU,671.5
KAWAII APRENDE A DIBUJARLOS,"ALBERTO, SARAH",Disponible,/p/kawaii-aprende-a-dibujarlos/112057/116182,Arte,UYU,671.5
EL DIARIO DE FRIDA KAHLO,FRIDA KAHLO,Disponible,/p/el-diario-de-frida-kahlo/159642/269856,Arte,UYU,1606.5
ATLAS DE LOS ATLAS,PHILIP PARKER,Disponible,/p/atlas-de-los-atlas/148900/258411,Arte,UYU,2125.0
GRANDES ARTISTAS,"HODGE, SUSIE",Disponible,/p/grandes-artistas/122674/125528,Arte,UYU,841.5
CUADROS DE LA NATURALEZA,JAVIER NÚÑEZ DE PRADO,Disponible,/p/cuadros-de-la-naturaleza/172786/276671,Arte,UYU,671.5
BAJO EL MAR,CARLL CNEUT,Disponible,/p/bajo-el-mar/172785/276670,Arte,UYU,586.5
DALÍ - ENCICLOPEDIA ILUSTRADA,VARIOS AUTORES,Disponible,/p/dali-enciclopedia-ilustrada/174116/277984,Arte,UYU,726.75
ROBERTO CASTELLANOS. PINTOR MARINISTA,JUAN NIN FERRARI,Disponible,/p/roberto-castellanos-pintor-marinista/174057/277921,Arte,UYU,1530.0
100 ARTISTAS ARGENTINAS,VV.AA.,Disponible,/p/100-artistas-argentinas/173407/277266,Arte,UYU,1946.5
DIBUJOS RECUPERADOS. FRANZ KAFKA,FRANZ KAFKA,Disponible,/p/dibujos-recuperados-franz-kafka/143412/252562,Arte,UYU,926.5
CHINA EN EL ARTE Y LA PRODUCCION CULTURAL CONTEMPORANEA GLOBAL,VV.AA.,Disponible,/p/china-en-el-arte-y-la-produccion-cultural-contemporanea-global/173421/277280,Arte,UYU,1096.5
DEVENIR OBRA DE ARTE,BORIS GROYS,Disponible,/p/devenir-obra-de-arte/139661/145236,Arte,UYU,714.0
"ARTISTAS LATINOAMERICANOS, DESDE 1785 HASTA HOY",VV.AA.,Disponible,/p/artistas-latinoamericanos-desde-1785-hasta-hoy/146327/255689,Arte,UYU,4233.0
LA HISTORIA DEL ARTE,E. H. GOMBRICH,Disponible,/p/la-historia-del-arte/99904/103489,Arte,UYU,3306.5
LA EXPLOTACIÓN MERCANTIL DEL PASADO,"ARNAUD, LUC",Disponible,/p/la-explotacion-mercantil-del-pasado/110646/114724,Arte,UYU,501.5
UNA HISTORIA SIN FINAL,CARLO GINZBURG,Disponible,/p/una-historia-sin-final/159241/269434,Arte,UYU,1351.5
PSICOLOGÍA DEL KITSCH,ABRAHAM A. MOLES,Disponible,/p/psicologia-del-kitsch/172872/276762,Arte,UYU,756.5
SANGRE O KÉTCHUP,"RESTREPO, GARCÍA WEHBI",Disponible,/p/sangre-o-ketchup/128374/131329,Arte,UYU,816.0
INTRODUCCIÓN AL ARTE CONTEMPORÁNEO,ANNE CAUQUELIN,Disponible,/p/introduccion-al-arte-contemporaneo/148397/257880,Arte,UYU,586.5
¿QUÉ ES EL ARTE?,GUIDO (ED.) INDIJ,Disponible,/p/-iquest-que-es-el-arte-/102932/106600,Arte,UYU,756.5
BARCOS,"LAVERY, BRIAN",Disponible,/p/barcos/126768/128925,Arte,UYU,2533.0
LA CRUELDAD DE LAS IMÁGENES,ANTONIO RIVERA GARCÍA,Disponible,/p/la-crueldad-de-las-imagenes/172071/275925,Arte,UYU,1683.0
FRIPP CAL - COLONIA TE PIDE QUE LA PINTES 1955-2008,GUSTAVO FRIPP CAL,Disponible,/p/fripp-cal-colonia-te-pide-que-la-pintes-1955-2008/173295/277151,Arte,UYU,680.0
ARTE ETRUSCO Y ROMANO,MIGUEL ÁNGEL ELVIRA BARBA,Disponible,/p/arte-etrusco-y-romano/172057/275911,Arte,UYU,2116.5
APUNTES DE TEATRO ITALIANO,ELISA MARTÍNEZ GARRIDO,Disponible,/p/apuntes-de-teatro-italiano/172054/275908,Arte,UYU,756.5
JUEGOS DE MESA VINTAGE,ADRIAN SEVILLE,Disponible,/p/juegos-de-mesa-vintage/173211/277066,Arte,UYU,1096.5
