titulo,autor,precio,disponibilidad,link,categoria
MANUAL DE CINE DE ANIMACIÓN,ÁNGELA ITURRIZA,UYU 1.105,Disponible,/p/manual-de-cine-de-animacion/176108/279981,Arte
QUE HACE EL ARTE,BRIAN ENO / BETTE A.,"UYU 841,50",Disponible,/p/que-hace-el-arte/176361/280248,Arte
LAS EXTRAVAGANTES,VICTORIA COMBALIA,"UYU 841,50",Disponible,/p/las-extravagantes/176273/280155,Arte
ATLAS DEL ARTE URBANO Y DEL GRAFITI,DIEGO LOPEZ GIMÉNEZ,UYU 2.533,Disponible,/p/atlas-del-arte-urbano-y-del-grafiti/175976/279840,Arte
"MANZANA DE CÉZANNE, LA. ESCRITOS SOBRE PINTURA",DH LAWRENCE,"UYU 586,50",Disponible,/p/manzana-de-cezanne-la-escritos-sobre-pintura/176056/279928,Arte
MURGA,"BROCOS, FILGUEIRAS","UYU 586,50",Disponible,/p/murga/106893/110724,Arte
APRENDE A DIBUJAR ANIMALES EN 50 MODELOS,NIELS ROMAN,"UYU 586,50",Disponible,/p/aprende-a-dibujar-animales-en-50-modelos/175980/279844,Arte
ROJO - HISTORIA DE UN COLOR,MICHEL PASTOUREAU,UYU 1.700,Disponible,/p/rojo-historia-de-un-color/160200/270174,Arte
PREMIO PAUL CEZANNE,VV.AA.,UYU 1.275,Disponible,/p/premio-paul-cezanne/170819/274688,Arte
EL UNIVERSO EN UNA CAJA. 20 POSTALES,TROCHE,"UYU 331,50",Disponible,/p/el-universo-en-una-caja-20-postales/60152/61648,Arte
CUADERNO ÍNTIMO INSPIRADO EN FRIDA KAHLO,CLAUIA MADRAZO,"UYU 1.011,50",Disponible,/p/cuaderno-intimo-inspirado-en-frida-kahlo/159643/269857,Arte
BANKSY. ESTO NO ES UN MANUAL DE RECURSOS PARA LAS PUTAS AGENCIAS PUBLICITARIAS,BANKSY,"UYU 926,50",Disponible,/p/banksy-esto-no-es-un-manual-de-recursos-para-las-putas-agencias-publicitarias/159641/269855,Arte
GUÍA PARA LA ACTUACIÓN DEL FUTURO,BERNARD HILLER,"UYU 841,50",Disponible,/p/guia-para-la-actuacion-del-futuro/154610/264492,Arte
VERDAD,SUSAN  BATSON,UYU 1.020,Disponible,/p/verdad/174907/278747,Arte
ARTES DE LA MEMORIA EN EL MUNDO CONTEMPORÁNEO,ANDREAS HUYSSEN,UYU 1.105,Disponible,/p/artes-de-la-memoria-en-el-mundo-contemporaneo/174881/278720,Arte
PICASSO OBRAS MAESTRAS,STÉPHANE GUÉGAN,UYU 1.785,Disponible,/p/picasso-obras-maestras/174693/278533,Arte
DOMUS 1940-1949,VARIOS AUTORES,UYU 2.125,Disponible,/p/domus-1940-1949/174590/278449,Arte
KAHLO,"KETTENMANN, ANDREA",UYU 1.105,Disponible,/p/kahlo/63949/76100,Arte
GIGER,HR GIGER,UYU 1.105,Disponible,/p/giger/103684/107391,Arte
WARHOL,"HONNEF, KLAUS",UYU 1.105,Disponible,/p/warhol/65299/75714,Arte
EL BOSCO,"BOSING, WALTER",UYU 1.105,Disponible,/p/el-bosco/73354/75330,Arte
ALQUIMIA Y MÍSTICA,"ROOB, ALEXANDER",UYU 1.530,Disponible,/p/alquimia-y-mistica/73358/75334,Arte
JOAN MIRO,VARIOS AUTORES,"UYU 841,50",Disponible,/p/joan-miro/174587/278446,Arte
OBRAS MAESTRAS EXPLICADAS,JAMES  PAYNE,UYU 2.380,Disponible,/p/obras-maestras-explicadas/174600/278459,Arte
DAVID HOCKNEY,DELPHINE COFFIN / ALEXANDRA DE BOUHELLIER,"UYU 841,50",Disponible,/p/david-hockney/174598/278457,Arte
EL CAMINO DEL ARTISTA PARA PADRES,JULIA CAMERON,"UYU 586,50",Disponible,/p/el-camino-del-artista-para-padres/174549/278423,Arte
EL MUNDO DEL REVES,BENJAMIN MOSER,UYU 1.105,Disponible,/p/el-mundo-del-reves/174470/278339,Arte
TRISTÍSIMO WARHOL,ESTRELLA DE DIEGO,"UYU 807,50",Disponible,/p/tristisimo-warhol/174476/278345,Arte
TERESA TRUJILLO: CORPO REALIDADES,TERESA TRUJILLO,UYU 1.530,Disponible,/p/teresa-trujillo-corpo-realidades/174158/278030,Arte
SOBRAS DE ARTA INCOMPLETAS DE ERNEST,VVAA,UYU 1.530,Disponible,/p/sobras-de-arta-incompletas-de-ernest/173903/277774,Arte
PALI,RAFAEL LORENTE,UYU 1.020,Disponible,/p/pali/126090/128111,Arte
DIBUJAR EN 10 PASOS KAWAII,CHIE KUTSUKAWA,"UYU 671,50",Disponible,/p/dibujar-en-10-pasos-kawaii/142143/251224,Arte
MANGA: DIBUJAR EN 10 PASOS,CHIE KUTSUKAWA,"UYU 671,50",Disponible,/p/manga-dibujar-en-10-pasos/125741/127741,Arte
KAWAII HAND LETTERING,"GUENTERT BALDO, CINDY","UYU 671,50",Disponible,/p/kawaii-hand-lettering/125734/127734,Arte
KAWAII APRENDE A DIBUJARLOS,"ALBERTO, SARAH","UYU 671,50",Disponible,/p/kawaii-aprende-a-dibujarlos/112057/116182,Arte
EL DIARIO DE FRIDA KAHLO,FRIDA KAHLO,"UYU 1.606,50",Disponible,/p/el-diario-de-frida-kahlo/159642/269856,Arte
ATLAS DE LOS ATLAS,PHILIP PARKER,UYU 2.125,Disponible,/p/atlas-de-los-atlas/148900/258411,Arte
GRANDES ARTISTAS,"HODGE, SUSIE","UYU 841,50",Disponible,/p/grandes-artistas/122674/125528,Arte
CUADROS DE LA NATURALEZA,JAVIER NÚÑEZ DE PRADO,"UYU 671,50",Disponible,/p/cuadros-de-la-naturaleza/172786/276671,Arte
BAJO EL MAR,CARLL CNEUT,"UYU 586,50",Disponible,/p/bajo-el-mar/172785/276670,Arte
DALÍ - ENCICLOPEDIA ILUSTRADA,VARIOS AUTORES,"UYU 726,75",Disponible,/p/dali-enciclopedia-ilustrada/174116/277984,Arte
ROBERTO CASTELLANOS. PINTOR MARINISTA,JUAN NIN FERRARI,UYU 1.530,Disponible,/p/roberto-castellanos-pintor-marinista/174057/277921,Arte
